ID,X,Y,AANTAL,HOOFDSOORT,ANT_IDS,TWEEG,DRIEG,VIERG,VIJFG,MOBIELE_COMMUNICATIE,OMROEP,OVERIGMOBIEL,VASTE_VERB,ZENDAMATEURS,GEMEENTE,POSTCODE,WOONPLAATSNAAM,SMALL_CELL_INDICATOR
10843,194697,589531,1.0,ZENDAMATEURS,267432137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Dantumadiel,9104BV,DAMWALD,
10844,89927,421088,1.0,ZENDAMATEURS,1311474058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Cromstrijen,3286BC,KLAASWAAL,
10845,90283,471714,1.0,ZENDAMATEURS,275871842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Noordwijk,2201GL,NOORDWIJK ZH,
10846,206749,381862,1.0,VASTE VERB,742975003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Horst aan de Maas,5971NV,GRUBBENVORST,
10847,209962,384708,1.0,VASTE VERB,1331345955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Venlo,5943NB,LOMM,
10848,185567,459681,2.0,"VASTE VERB, VASTE VERB","4948618955, 8366956475",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Ede,7351TA,HOENDERLOO,
10848,185567,459681,3.0,"5G NR, GSM, LTE","219659945, 2711282940, 4256126792",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Ede,7351TA,OTTERLO,
10850,145490,403193,1.0,ZENDAMATEURS,1313503547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Haaren,5076SJ,HAAREN,
10851,193760,326425,1.0,ZENDAMATEURS,395093064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Heerlen,6431XG,HOENSBROEK,
10852,92141,453729,1.0,ZENDAMATEURS,276988219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Zoetermeer,2717BT,ZOETERMEER,
10853,139801,472749,1.0,VASTE VERB,829170248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Hilversum,1217AM,HILVERSUM,
10854,140208,472701,1.0,VASTE VERB,1909583343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Hilversum,1217AP,HILVERSUM,
10855,215050,435320,1.0,ZENDAMATEURS,1357336885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Montferland,7038BX,ZEDDAM,
10856,104767,451357,1.0,ZENDAMATEURS,889466527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Waddinxveen,2741CS,WADDINXVEEN,
10857,198751,446125,1.0,ZENDAMATEURS,1138922532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Rheden,6991ZJ,RHEDEN,
10859,180588,580634,1.0,ZENDAMATEURS,1359476921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Leeuwarden,8915HR,LEEUWARDEN,
10860,112525,398443,1.0,ZENDAMATEURS,898259612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Breda,4819BC,BREDA,
10864,171610,560840,1.0,OVERIGMOBIEL,8243454258,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Sneek,8601WB,Sneek,
10865,262628,482481,1.0,OMROEP,1291189826,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Losser,7587NM,,
10865,262628,482481,3.0,"5G NR, LTE, GSM","5165408795, 4220298366, 1480576247",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Losser,7587NM,De Lutte,
10865,262628,482481,2.0,"VASTE VERB, VASTE VERB","5358656339, 1361002142",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Losser,7587NM,DE LUTTE,
45892,179345,318394,3.0,"5G NR, GSM, LTE","4368259116, 5298141351, 5094903154",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Maastricht,6226NV,MAASTRICHT,
10867,200713,364587,1.0,ZENDAMATEURS,905852690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Beesel,5954AZ,BEESEL,
10868,167892,461230,1.0,ZENDAMATEURS,1511674589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Barneveld,3772XG,BARNEVELD,
10869,159983,398300,1.0,ZENDAMATEURS,1357675669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sint-Oedenrode,5491HB,SINT-OEDENRODE,
45893,177342,318530,3.0,"5G NR, GSM, LTE","9228845150, 8354687180, 6032494797",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Maastricht,6224AL,MAASTRICHT,
45894,178276,318552,3.0,"5G NR, GSM, LTE","4718713411, 3483095252, 9828488166",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Maastricht,6225XS,MAASTRICHT,
10872,134066,398054,1.0,ZENDAMATEURS,1752947385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Tilburg,5014PL,TILBURG,
45895,175448,318547,3.0,"5G NR, GSM, LTE","5470195884, 6943524531, 12931005",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Maastricht,6217NT,MAASTRICHT,
45895,175448,318547,1.0,OVERIGMOBIEL,2189722108,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Maastricht,6217NT,MAASTRICHT,
45896,182410,318846,3.0,"5G NR, GSM, LTE","8247948640, 7456060823, 2643801271",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Valkenburg aan de Geul,6325AE,BERG EN TERBLIJT,
45897,194090,318940,3.0,"5G NR, GSM, LTE","5880027165, 3065209865, 7995991953",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Voerendaal,6367GX,VOERENDAAL,
45898,174716,318920,3.0,"5G NR, GSM, LTE","5856727, 8793442935, 5845273326",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Maastricht,6217CZ,MAASTRICHT,
45899,184640,319007,3.0,"5G NR, GSM, LTE","2219077441, 7980423657, 1062065394",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Valkenburg aan de Geul,6325DB,BERG EN TERBLIJT,
10878,98609,427943,1.0,ZENDAMATEURS,112867443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Zwijndrecht,2995VC,,
10879,177989,423726,1.0,ZENDAMATEURS,913296352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Wijchen,6605EL,WIJCHEN,
10880,134634,425522,1.0,ZENDAMATEURS,1585840287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Zaltbommel,5306GE,,
10880,134634,425522,1.0,ZENDAMATEURS,1809286564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Zaltbommel,5306GE,BRAKEL,
45900,197612,309076,3.0,"5G NR, GSM, LTE","1111184366, 4756207502, 1891362669",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Vaals,6295ND,VAALS,
10882,91248,436252,1.0,VASTE VERB,5845513241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Rotterdam,3021NP,ROTTERDAM,
10882,91248,436252,3.0,"LTE, UMTS, 5G NR","4820040136, 8688977611, 5874424337",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Rotterdam,3021NP,Rotterdam,
10883,115049,498506,1.0,ZENDAMATEURS,914082316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Zaanstad,1544WH,ZAANDIJK,
45901,178291,308965,1.0,OVERIGMOBIEL,4712431958,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eijsden,6245AC,EIJSDEN,
45901,178291,308965,3.0,"5G NR, GSM, LTE","1175139353, 6888677613, 7343008505",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Eijsden,6245AC,EIJSDEN,
45902,183930,309104,3.0,"5G NR, GSM, LTE","1232921931, 3385393500, 1755952273",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Margraten,6255PB,NOORBEEK,
10886,196381,468333,1.0,ZENDAMATEURS,1358609359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Apeldoorn,7329CB,APELDOORN,
45903,190255,309510,1.0,OVERIGMOBIEL,801383713,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Gulpen-Wittem,6276PD,MECHELEN,
45903,190255,309510,3.0,"5G NR, GSM, LTE","1455492395, 3133682025, 3228843916",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Gulpen-Wittem,6276PD,MECHELEN,
10888,77487,453775,1.0,ZENDAMATEURS,920144824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,'s-Gravenhage,2564LD,'S-GRAVENHAGE,
10889,92828,446948,1.0,ZENDAMATEURS,920430160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Lansingerland,2651LR,BERKEL EN RODENRIJS,
45904,191671,309676,3.0,"5G NR, GSM, LTE","1629618867, 4388678384, 4495840101",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Gulpen-Wittem,6285AJ,EPEN,
10891,148100,600567,1.0,OVERIGMOBIEL,5527780564,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Terschelling,8881HB,Midsland,
10892,256712,568215,1.0,ZENDAMATEURS,920847058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Veendam,9644VH,VEENDAM,
45905,196157,310342,3.0,"5G NR, GSM, LTE","566942940, 6336374737, 9287863135",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Vaals,6294NG,VIJLEN,
45906,197957,310384,3.0,"5G NR, GSM, LTE","343117920, 343828939, 6455225800",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Vaals,6291DB,VAALS,
10895,206465,611063,3.0,"5G NR, LTE, UMTS","4094193529, 2339388698, 2453834631",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Schiermonnikoog,9166NL,Schiermonnikoog,
10895,206465,611063,1.0,OVERIGMOBIEL,1331670043,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Schiermonnikoog,9166NL,Schiermonnikoog,
45907,183884,310762,3.0,"5G NR, GSM, LTE","635171160, 5522322205, 5420593706",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Margraten,6261NZ,MHEER,
45908,178024,310996,3.0,"5G NR, GSM, LTE","3097602318, 6105969731, 7113417262",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Eijsden,6245LR,EIJSDEN,
10898,232620,481170,2.0,"LTE, GSM","6234693237, 5247365175",1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Rijssen-Holten,7461JD,Rijssen,
